Dispatching_base_num,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID
B00008,2017-04-01 00:40:00,,,
B00008,2017-04-01 00:00:00,,,
B00008,2017-04-01 00:40:00,,,
B00008,2017-04-01 00:50:00,,,
B00008,2017-04-01 00:30:00,,,
B00008,2017-04-01 00:50:00,,,
B00008,2017-04-01 00:00:00,,,
B00008,2017-04-01 00:10:00,,,
B00008,2017-04-01 00:20:00,,,
B00013,2017-04-01 00:50:00,,,
B00013,2017-04-01 00:06:00,,,
B00013,2017-04-01 00:51:00,,,
B00013,2017-04-01 00:44:00,,,
B00013,2017-04-01 00:11:00,,,
B00014,2017-04-01 00:18:00,,,
B00014,2017-04-01 00:44:00,,,
B00014,2017-04-01 00:07:00,,,
B00014,2017-04-01 00:05:00,,,
B00014,2017-04-01 00:37:00,,,
B00014,2017-04-01 00:07:00,,,
B00014,2017-04-01 00:29:00,,,
B00021,2017-04-01 00:31:00,,57,
B00021,2017-04-01 00:24:00,,82,
B00021,2017-04-01 00:54:00,,173,
B00021,2017-04-01 00:14:00,,82,
B00021,2017-04-01 00:04:00,,260,
B00021,2017-04-01 00:29:00,,56,
B00021,2017-04-01 00:15:00,,7,
B00029,2017-04-01 00:07:00,,3,
B00029,2017-04-01 00:07:00,,
