dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00013,2019-03-01 00:09:15,2019-03-01 00:26:20,264,264,
B00013,2019-03-01 00:00:08,2019-03-02 00:30:33,264,264,
B00013,2019-03-01 00:55:38,2019-03-01 01:03:13,264,264,
B00013,2019-03-01 00:56:30,2019-03-01 01:00:43,264,264,
B00014,2019-03-01 00:53:03,2019-03-01 00:59:46,264,264,
B00014,2019-03-01 00:14:07,2019-03-01 00:21:40,264,264,
B00014,2019-03-01 00:33:34,2019-03-01 01:00:09,264,264,
B00014,2019-03-01 00:58:43,2019-03-01 01:26:38,264,264,
B00014,2019-03-01 00:07:27,2019-03-02 00:09:05,264,264,
B00014,2019-03-01 00:51:38,2019-03-01 01:35:07,264,264,
B00014,2019-03-01 00:44:42,2019-03-02 01:19:05,264,264,
B00014,2019-03-01 00:32:27,2019-03-01 00:59:10,264,264,
B00037,2019-03-01 00:36:51,2019-03-01 00:49:45,264,265,
B00053,2019-03-01 00:18:30,2019-03-02 01:47:14,264,264,
B00053,2019-03-01 00:11:34,2019-03-02 00:50:35,264,264,
B00112,2019-03-01 00:20:49,2019-03-01 01:00:19,264,265,
B00160,2019-03-01 00:06
