hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02682,2019-08-01 00:59:31,2019-08-01 01:01:47,161,163,
HV0003,B02682,2019-08-01 00:25:05,2019-08-01 00:43:36,229,244,
HV0003,B02764,2019-08-01 00:24:35,2019-08-01 00:31:22,161,142,
HV0003,B02764,2019-08-01 00:40:33,2019-08-01 01:13:19,163,181,
HV0003,B02864,2019-08-01 00:05:11,2019-08-01 00:37:08,138,123,
HV0003,B02864,2019-08-01 00:43:07,2019-08-01 00:50:50,149,210,
HV0003,B02764,2019-08-01 00:28:25,2019-08-01 00:34:02,255,112,
HV0003,B02682,2019-08-01 00:12:27,2019-08-01 00:26:36,246,230,
HV0003,B02682,2019-08-01 00:57:44,2019-08-01 01:15:31,162,148,
HV0003,B02872,2019-08-01 00:12:41,2019-08-01 00:38:05,177,148,
HV0003,B02764,2019-08-01 00:31:59,2019-08-01 00:53:02,13,244,
HV0005,B02510,2019-08-01 00:28:11,2019-08-01 00:57:57,145,265,
HV0003,B02617,2019-08-01 00:06:07,2019-08-01 00:13:45,145,145,
HV0003,B02836,2019-08-01 00:00:33,2019-08-01 00:06:50,56,173,1
HV0003,B02836,2019-08-
