Dispatching_base_num,Pickup_date,locationID
B00001,2016-02-01 04:45:00,
B00001,2016-02-01 05:00:00,
B00001,2016-02-01 05:30:00,
B00001,2016-02-01 05:45:00,
B00001,2016-02-01 06:00:00,
B00001,2016-02-01 06:00:00,
B00001,2016-02-01 06:15:00,
B00001,2016-02-01 06:15:00,
B00001,2016-02-01 06:15:00,
B00001,2016-02-01 06:30:00,
B00001,2016-02-01 06:30:00,
B00001,2016-02-01 07:00:00,
B00001,2016-02-01 07:00:00,
B00001,2016-02-01 07:00:00,
B00001,2016-02-01 07:15:00,
B00001,2016-02-01 07:30:00,
B00001,2016-02-01 07:30:00,
B00001,2016-02-01 07:45:00,
B00001,2016-02-01 07:45:00,
B00001,2016-02-01 07:45:00,
B00001,2016-02-01 07:50:00,
B00001,2016-02-01 08:00:00,
B00001,2016-02-01 08:15:00,
B00001,2016-02-01 08:15:00,
B00001,2016-02-01 09:00:00,
B00001,2016-02-01 09:30:00,
B00001,2016-02-01 10:00:00,
B00001,2016-02-01 10:45:00,
B00001,2016-02-01 10:48:00,
B00001,2016-02-01 11:00:00,
B00001,2016-02-01 11:00:00,
B00001,2016-02-01 11:15:00,
B00001,2016-02-01 11:45:00,
B00001,2016-02-01 11:5
