"Dispatching_base_num","Pickup_DateTime","DropOff_datetime","PUlocationID","DOlocationID","SR_Flag"
"B02876","2017-10-01 00:28:36","2017-10-01 00:50:32","211","255",""
"B02876","2017-10-01 00:55:15","2017-10-01 01:00:45","255","112",""
"B02876","2017-10-01 00:27:22","2017-10-01 00:33:27","216","216",""
"B02876","2017-10-01 00:34:06","2017-10-01 01:05:59","216","129","1"
"B02876","2017-10-01 00:49:31","2017-10-01 01:01:56","56","129","1"
"B02876","2017-10-01 00:36:42","2017-10-01 00:47:47","213","147",""
"B02877","2017-10-01 00:12:59","2017-10-01 00:38:08","48","95",""
"B02877","2017-10-01 00:25:01","2017-10-01 00:41:38","82","215",""
"B02877","2017-10-01 00:46:11","2017-10-01 01:00:44","10","130",""
"B02877","2017-10-01 00:17:05","2017-10-01 00:23:27","142","48",""
"B02877","2017-10-01 00:27:15","2017-10-01 00:56:31","230","157",""
"B02877","2017-10-01 00:11:09","2017-10-01 00:34:07","141","25",""
"B02877","2017-10-01 00:08:00","2017-10-01 00:15:47","231","114",""
"B02877","2017-10-01 00:20:17",
