dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00013,2019-04-01 00:15:00,2019-04-01 00:55:36,264,264,
B00013,2019-04-01 00:11:00,2019-04-01 00:31:39,264,264,
B00014,2019-04-01 00:25:00,2019-04-01 00:55:36,264,264,
B00014,2019-04-01 00:09:36,2019-04-01 00:40:12,264,264,
B00014,2019-04-01 00:00:57,2019-04-01 00:41:33,264,264,
B00014,2019-04-01 00:45:00,2019-04-01 01:25:36,264,264,
B00014,2019-04-01 00:28:00,2019-04-01 00:58:36,264,264,
B00021,2019-04-01 00:18:53,2019-04-01 00:35:15,56,129,
B00021,2019-04-01 00:02:44,2019-04-01 00:14:49,173,129,
B00021,2019-04-01 00:30:42,2019-04-01 00:51:26,129,56,
B00021,2019-04-01 00:46:26,2019-04-01 00:55:56,56,82,
B00021,2019-04-01 00:03:49,2019-04-01 00:09:42,260,260,
B00037,2019-04-01 00:04:11,2019-04-01 00:17:27,264,265,
B00037,2019-04-01 00:42:45,2019-04-01 01:00:01,264,265,
B00037,2019-04-01 00:00:33,2019-04-01 00:10:33,264,265,
B00037,2019-04-01 00:17:09,2019-04-01 00:22:44,264,265,
B00037,2019-04-01 00:35:36,
