hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0005,B02510,2019-04-01 00:11:25,2019-04-01 00:21:56,52,97,
HV0005,B02510,2019-04-01 00:28:57,2019-04-01 00:52:24,97,239,
HV0005,B02510,2019-04-01 00:59:25,2019-04-01 01:29:54,238,61,
HV0005,B02510,2019-04-01 00:53:14,2019-04-01 00:57:02,212,213,1
HV0003,B02764,2019-04-01 00:11:42,2019-04-01 00:20:06,165,210,1
HV0003,B02764,2019-04-01 00:22:47,2019-04-01 00:48:45,210,156,1
HV0003,B02764,2019-04-01 00:48:25,2019-04-01 00:58:52,156,23,1
HV0003,B02764,2019-04-01 00:01:28,2019-04-01 00:09:29,234,68,
HV0003,B02875,2019-04-01 00:04:51,2019-04-01 00:15:10,249,170,
HV0003,B02875,2019-04-01 00:36:47,2019-04-01 00:54:16,246,248,
HV0003,B02764,2019-04-01 00:00:53,2019-04-01 00:12:53,42,75,
HV0003,B02764,2019-04-01 00:20:10,2019-04-01 00:36:55,263,235,1
HV0003,B02764,2019-04-01 00:23:25,2019-04-01 00:43:38,75,136,1
HV0003,B02764,2019-04-01 00:31:58,2019-04-01 00:59:19,132,55,
HV0005,B02510,2019-04-01 
