hvfhs_license_num,vendorid,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,SR_Flag
HV0005,B02510,2020-06-02 00:15:36,2020-06-02 00:29:34,76,108,
HV0005,B02510,2020-06-02 00:38:46,2020-06-02 00:53:23,55,22,
HV0005,B02510,2020-06-02 00:07:41,2020-06-02 00:17:37,190,17,
HV0005,B02510,2020-06-02 00:38:37,2020-06-02 00:56:34,97,112,
HV0003,B02764,2020-06-02 00:07:27,2020-06-02 00:15:23,127,243,
HV0003,B02764,2020-06-02 00:18:54,2020-06-02 00:28:36,243,244,
HV0003,B02764,2020-06-02 00:34:56,2020-06-02 00:49:52,116,153,
HV0003,B02764,2020-06-02 00:56:24,2020-06-02 01:08:56,127,116,
HV0003,B02764,2020-06-02 00:18:57,2020-06-02 00:42:26,182,132,
HV0005,B02510,2020-06-02 00:19:27,2020-06-02 00:42:07,230,167,
HV0003,B02888,2020-06-02 00:06:23,2020-06-02 00:24:51,17,226,
HV0003,B02888,2020-06-02 00:32:17,2020-06-02 00:34:56,226,157,
HV0003,B02888,2020-06-02 00:43:55,2020-06-02 00:49:17,160,102,
HV0003,B02617,2020-06-02 00:06:21,2020-06-02 00:25:59,140,60,
