VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-07-01 00:16:40,2017-07-01 00:17:02,N,1,264,193,1,.00,2.5,0.5,0.5,0,0,,0.3,3.8,1,1
2,2017-07-01 00:56:23,2017-07-01 00:59:30,N,1,14,14,1,.81,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-07-01 00:15:25,2017-07-01 00:34:24,N,1,112,61,1,4.97,18,0.5,0.5,3.86,0,,0.3,23.16,1,1
2,2017-07-01 00:55:06,2017-07-01 00:59:08,N,1,92,92,1,.83,5.5,0.5,0.5,0,0,,0.3,6.8,1,1
2,2017-07-01 00:34:05,2017-07-01 00:50:44,N,1,75,79,1,4.99,16,0.5,0.5,2,0,,0.3,19.3,1,1
2,2017-07-01 00:09:19,2017-07-01 00:16:58,N,1,61,188,1,1.72,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-07-01 00:24:20,2017-07-01 00:30:54,N,1,188,89,1,1.88,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2017-07-01 00:41:22,2017-07-01 01:13:02,N,1,89,71,1,1.74,20,0.5,0.5,0,0,,0.3,21.3,1,1
2,2017-07-01 00:20:02,2017-07-01 00:39:31,N,1,255,
